Team,Goals,Shots pg,Discipline,Possession,Pass,AerialsWon,Rating,Year
Chelsea,103,21.9,545,56.9,82.5,11.6,7.3,2009-2010
Tottenham,67,17.9,581,52.2,76.1,18.2,7.19,2009-2010
Manchester United,86,18.3,494,55.6,79.9,13.2,7.19,2009-2010
Arsenal,83,17.4,561,57,80.8,14.4,7.17,2009-2010
Aston Villa,52,13.1,592,48.5,71.8,18.8,7.06,2009-2010
Manchester City,73,13.8,492,52.2,76,12.7,7.06,2009-2010
Liverpool,61,16.9,555,55.8,78.5,13,7.04,2009-2010
Everton,60,15.5,572,51.2,75,16.2,7,2009-2010
Birmingham,38,11.9,741,47.7,67.2,16.9,6.91,2009-2010
Sunderland,48,11.7,779,47.3,65.9,18.9,6.89,2009-2010
West Ham,47,14.4,623,49.4,74.9,15.3,6.88,2009-2010
Fulham,39,12.2,461,49.9,73.8,15.5,6.86,2009-2010
Bolton,42,14.7,745,45.1,63.7,20.1,6.85,2009-2010
Stoke,34,10.6,635,43.4,62.2,19.6,6.82,2009-2010
Wigan,37,14.6,653,51.4,74.3,14.9,6.81,2009-2010
Blackburn,41,12.9,572,45.9,63.8,21.2,6.8,2009-2010
Portsmouth,34,14,685,48.4,73.6,13.7,6.72,2009-2010
Wolverhampton Wanderers,32,11.5,634,47.6,67.3,15,6.71,2009-2010
Burnley,42,12.1,572,49.2,68.7,15.2,6.67,2009-2010
Hull,34,10.2,646,45.4,66.7,16.2,6.64,2009-2010
Chelsea,69,19.6,591,56,83,12.7,7.05,2010-2011
Manchester United,78,16.3,563,54.6,80.8,12.6,7.03,2010-2011
Arsenal,72,17.2,656,57.7,83.4,13.7,7.02,2010-2011
Tottenham,55,17.3,512,53.4,79.6,16.2,6.98,2010-2011
Manchester City,58,14.4,715,52.5,81.5,12.2,6.98,2010-2011
Liverpool,59,15.3,632,51.5,76.6,13.9,6.9,2010-2011
Fulham,49,14.4,521,50.2,75.5,16,6.9,2010-2011
Bolton,52,15,675,47.4,66.6,20.9,6.88,2010-2011
Sunderland,45,14,575,48.8,71,17.8,6.83,2010-2011
Aston Villa,48,13.3,712,49.1,73.4,16.5,6.82,2010-2011
Everton,51,15.3,555,49.9,75.5,14.4,6.81,2010-2011
Wigan,40,13.4,674,50.6,74.8,12.5,6.8,2010-2011
